# source: Mustafa Insel, 1990 PhD thesis, Figure 359
# source_location: printed page 358; PDF page 368
# source-only two-pass trace; no michell output used in extraction or reconciliation
figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_pass_a,relative_position_pass_b,fn_anchor,fn,tau,fn_digitization_uncertainty,tau_digitization_uncertainty,pass_count,adjudication,fn_a,tau_a,fn_b,tau_b,fn_pass_difference,tau_pass_difference,pass_a_x_px,pass_a_y_px,pass_b_x_px,pass_b_y_px
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.245,0.2450000,1.1442418,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2450002,1.1436731,0.2449998,1.1448104,0.0000004,0.0011373,835.956,1001.929,836.633,1001.268
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.250,0.2499999,1.2148532,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2499998,1.2146254,0.2500000,1.2150810,0.0000002,0.0004556,846.333,965.942,847.000,965.683
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.255,0.2550001,1.1882559,0.0030000,0.0289499,2,two-pass source-only match; ordinate averaged,0.2549999,1.1593060,0.2550002,1.2172058,0.0000002,0.0578998,856.711,994.000,857.367,964.607
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.260,0.2599999,1.0657789,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2600001,1.0651577,0.2599998,1.0664001,0.0000002,0.0012424,867.089,1041.752,867.733,1040.975
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.285,0.2850001,1.0537918,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2850001,1.0646037,0.2850002,1.0429799,0.0000001,0.0216238,918.978,1042.033,919.567,1052.835
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.290,0.2900000,1.1982918,0.0030000,0.0292555,2,two-pass source-only match; ordinate averaged,0.2900002,1.2275473,0.2899998,1.1690363,0.0000004,0.0585110,929.356,959.388,929.933,989.000
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.295,0.2949999,1.3456869,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2949998,1.3604101,0.2950000,1.3309637,0.0000002,0.0294464,939.733,892.000,940.300,907.000
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.300,0.3000001,1.4757987,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2999999,1.4713920,0.3000002,1.4802054,0.0000002,0.0088134,950.111,835.710,950.667,831.424
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.305,0.3049999,1.4041509,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3050001,1.4061909,0.3049998,1.4021110,0.0000002,0.0040799,960.489,868.780,961.033,870.971
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.310,0.3100001,1.3180294,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3100002,1.3348206,0.3100000,1.3012382,0.0000002,0.0335824,970.867,904.979,971.400,922.053
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.315,0.3150000,1.2642100,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3149998,1.2664018,0.3150002,1.2620182,0.0000004,0.0043836,981.244,939.681,981.767,941.914
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.320,0.3199999,1.1114766,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3199999,1.1105718,0.3199998,1.1123815,0.0000001,0.0018098,991.622,1018.718,992.133,1017.690
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.325,0.3250000,1.0526755,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3250000,1.0528707,0.3250000,1.0524803,0.0000000,0.0003904,1002.000,1047.984,1002.500,1048.024
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.330,0.3300001,1.0011631,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3300001,1.0012618,0.3300002,1.0010644,0.0000001,0.0001975,1012.378,1074.160,1012.867,1074.061
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.335,0.3350000,0.9144473,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3350002,0.9172082,0.3349998,0.9116864,0.0000004,0.0055218,1022.756,1116.792,1023.233,1119.322
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.340,0.3399999,0.8452193,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3399998,0.8360686,0.3400000,0.8543701,0.0000002,0.0183015,1033.133,1157.946,1033.600,1148.347
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.345,0.3450001,0.7853218,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3449999,0.7838604,0.3450002,0.7867832,0.0000002,0.0029228,1043.511,1184.426,1043.967,1182.573
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.350,0.3499999,0.7556141,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3500001,0.7549980,0.3499998,0.7562303,0.0000002,0.0012322,1053.889,1199.065,1054.333,1198.045
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.355,0.3550001,0.8433385,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3550002,0.8421905,0.3550000,0.8444866,0.0000002,0.0022961,1064.267,1154.841,1064.700,1153.352
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.360,0.3600000,0.9756945,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3599998,0.9557472,0.3600002,0.9956418,0.0000004,0.0398945,1074.644,1097.245,1075.067,1076.807
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.365,0.3649999,1.0405849,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3649999,1.0407551,0.3649998,1.0404147,0.0000001,0.0003404,1085.022,1054.129,1085.433,1054.134
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.370,0.3700000,1.1421278,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3700000,1.1412461,0.3700000,1.1430095,0.0000000,0.0017634,1095.400,1003.160,1095.800,1002.180
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.375,0.3750001,1.2714978,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3750001,1.2724941,0.3750002,1.2705016,0.0000001,0.0019925,1105.778,936.591,1106.167,937.618
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.380,0.3800000,1.3575812,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3800002,1.3584661,0.3799998,1.3566963,0.0000004,0.0017698,1116.156,892.986,1116.533,893.969
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.385,0.3849999,1.4589811,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3849998,1.4586455,0.3850000,1.4593167,0.0000002,0.0006712,1126.533,842.175,1126.900,842.002
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.390,0.3900001,1.5603942,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3899999,1.5609464,0.3900002,1.5598420,0.0000002,0.0011044,1136.911,790.288,1137.267,791.096
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.395,0.3949999,1.6664525,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.3950001,1.6611337,0.3949998,1.6717713,0.0000002,0.0106377,1147.289,739.473,1147.633,734.415
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.400,0.4000001,1.7766175,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4000002,1.7946865,0.4000000,1.7585486,0.0000002,0.0361379,1157.667,671.735,1158.000,690.471
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.405,0.4050000,1.7950401,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4049998,1.7929653,0.4050002,1.7971149,0.0000004,0.0041496,1168.044,672.608,1168.367,670.941
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.410,0.4099999,1.8368554,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4099999,1.8223226,0.4099998,1.8513882,0.0000001,0.0290657,1178.422,657.718,1178.733,643.457
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.415,0.4150000,1.8640387,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4150000,1.8720386,0.4150000,1.8560387,0.0000000,0.0159999,1188.800,632.502,1189.100,641.102
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.420,0.4200001,1.9096155,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4200001,1.9017173,0.4200002,1.9175138,0.0000001,0.0157966,1199.178,617.449,1199.467,609.971
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.425,0.4250000,1.9352345,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4250002,1.9306349,0.4249998,1.9398341,0.0000004,0.0091993,1209.556,602.782,1209.833,598.668
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.430,0.4299999,1.9514612,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4299998,1.9488821,0.4300000,1.9540403,0.0000002,0.0051582,1219.933,593.527,1220.200,591.474
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.435,0.4350001,1.9640389,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4349999,1.9617054,0.4350002,1.9663724,0.0000002,0.0046670,1230.311,587.023,1230.567,585.229
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.440,0.4399999,1.9731710,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4400001,1.9730402,0.4399998,1.9733017,0.0000002,0.0002615,1240.689,581.274,1240.933,581.720
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.445,0.4450001,1.9789958,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4450002,1.9787638,0.4450000,1.9792279,0.0000002,0.0004641,1251.067,578.371,1251.300,578.719
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.450,0.4500000,1.9790441,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4499998,1.9789058,0.4500002,1.9791825,0.0000004,0.0002767,1261.444,578.299,1261.667,578.742
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.455,0.4549999,1.9731436,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4549999,1.9726774,0.4549998,1.9736098,0.0000001,0.0009323,1271.822,581.458,1272.033,581.564
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.460,0.4600000,1.9647788,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4600000,1.9637875,0.4600000,1.9657701,0.0000000,0.0019827,1282.200,585.967,1282.400,585.534
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.465,0.4650001,1.9513170,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4650001,1.9489649,0.4650002,1.9536690,0.0000001,0.0047041,1292.578,593.485,1292.767,591.662
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.470,0.4700000,1.9379981,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4700002,1.9331289,0.4699998,1.9428673,0.0000004,0.0097384,1302.956,601.517,1303.133,597.132
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.475,0.4749999,1.9061741,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4749998,1.9111100,0.4750000,1.9012382,0.0000002,0.0098719,1313.333,612.685,1313.500,618.213
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.480,0.4800001,1.8708063,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4799999,1.8730185,0.4800002,1.8685940,0.0000002,0.0044245,1323.711,632.005,1323.867,634.744
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.485,0.4849999,1.8551538,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4850001,1.8540063,0.4849998,1.8563013,0.0000002,0.0022950,1334.089,641.648,1334.233,640.969
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.490,0.4900001,1.8212451,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4900002,1.8337421,0.4900000,1.8087480,0.0000002,0.0249941,1344.467,651.926,1344.600,665.050
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.495,0.4950000,1.7999131,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4949998,1.7987500,0.4950002,1.8010762,0.0000004,0.0023262,1354.844,669.674,1354.967,668.935
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.500,0.4999999,1.7546662,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.4999999,1.7650572,0.4999998,1.7442753,0.0000001,0.0207819,1365.222,686.763,1365.333,697.699
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.505,0.5050000,1.7307935,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5050000,1.7316207,0.5050000,1.7299664,0.0000000,0.0016542,1375.600,703.722,1375.700,704.945
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.510,0.5100001,1.7015010,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5100001,1.7022693,0.5100002,1.7007326,0.0000001,0.0015367,1385.978,718.609,1386.067,719.749
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.515,0.5150000,1.6946571,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5150002,1.6916009,0.5149998,1.6977133,0.0000004,0.0061123,1396.356,724.020,1396.433,721.278
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.520,0.5199999,1.6494668,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5199998,1.6499685,0.5200000,1.6489652,0.0000002,0.0010032,1406.733,745.136,1406.800,745.964
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.525,0.5250001,1.5823440,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5249999,1.5812697,0.5250002,1.5834182,0.0000002,0.0021485,1417.111,779.980,1417.167,779.157
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.530,0.5299999,1.5686781,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5300001,1.5847969,0.5299998,1.5525592,0.0000002,0.0322377,1427.489,778.191,1427.533,794.784
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.535,0.5350001,1.5490019,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5350002,1.5486534,0.5350000,1.5493503,0.0000002,0.0006969,1437.867,796.523,1437.900,796.409
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.540,0.5400000,1.5693190,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5399998,1.5696668,0.5400002,1.5689712,0.0000004,0.0006956,1448.244,785.865,1448.267,786.473
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.545,0.5449999,1.5307513,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5449999,1.5301163,0.5449998,1.5313863,0.0000001,0.0012699,1458.622,805.925,1458.633,805.506
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.550,0.5500000,1.5264426,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5500000,1.5261554,0.5500000,1.5267299,0.0000000,0.0005745,1469.000,807.934,1469.000,807.864
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.555,0.5550001,1.4782609,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5550001,1.4641404,0.5550002,1.4923815,0.0000001,0.0282411,1479.378,839.388,1479.367,825.258
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.560,0.5600000,1.4562040,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5600002,1.4532827,0.5599998,1.4591252,0.0000004,0.0058425,1489.756,844.895,1489.733,842.099
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.565,0.5649999,1.4293933,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.5649998,1.4292823,0.5650000,1.4295043,0.0000002,0.0002220,1500.133,857.068,1500.100,857.099
