# source: Mustafa Insel, 1990 PhD thesis, Figures 347--350
# source_location: printed pages 352--353; PDF pages 362--363
# principal-hump window only; source-only two-pass trace
figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_pass_a,relative_position_pass_b,fn_anchor,fn_a,tau_a,fn_b,tau_b,fn_pass_difference,tau_pass_difference,pass_a_x_px,pass_a_y_px,pass_b_x_px,pass_b_y_px,fn,tau,fn_digitization_uncertainty,tau_digitization_uncertainty,pass_count,adjudication
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.515,0.5150000,1.7354326,0.5149998,1.7349130,0.0000002,0.0005196,1882.239,926.600,1882.394,927.729,0.5149999,1.7351728,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.520,0.5199999,1.7296645,0.5200001,1.7298776,0.0000002,0.0002131,1896.133,930.520,1896.267,931.143,0.5200000,1.7297710,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.525,0.5250001,1.7213655,0.5250000,1.7225531,0.0000000,0.0011876,1910.028,936.160,1910.139,936.109,0.5250001,1.7219593,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.530,0.5299999,1.7157240,0.5300000,1.7165280,0.0000000,0.0008041,1923.922,939.994,1924.011,940.194,0.5299999,1.7161260,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.535,0.5350001,1.7091775,0.5349999,1.7098481,0.0000002,0.0006706,1937.817,944.443,1937.883,944.723,0.5350000,1.7095128,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.540,0.5400000,1.7010962,0.5400002,1.7021578,0.0000002,0.0010616,1951.711,949.935,1951.756,949.937,0.5400001,1.7016270,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.545,0.5450002,1.6931783,0.5450001,1.6943673,0.0000001,0.0011889,1965.606,955.316,1965.628,955.219,0.5450001,1.6937728,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.550,0.5500000,1.6858726,0.5500000,1.6873038,0.0000000,0.0014313,1979.500,960.281,1979.500,960.008,0.5500000,1.6865882,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.350,0.3499999,1.7289582,0.3500000,1.7286136,0.0000000,0.0003446,1423.722,931.000,1424.611,932.000,0.3499999,1.7287859,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.355,0.3550001,1.7054149,0.3549999,1.7079646,0.0000002,0.0025497,1437.617,947.000,1438.483,946.000,0.3550000,1.7066898,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.360,0.3600000,1.7081165,0.3600002,1.7092507,0.0000002,0.0011342,1451.511,945.164,1452.356,945.128,0.3600001,1.7086836,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.365,0.3650002,1.7160477,0.3650001,1.7142360,0.0000001,0.0018117,1465.406,939.774,1466.228,941.748,0.3650001,1.7151418,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.370,0.3700000,1.6936433,0.3700000,1.6843658,0.0000000,0.0092775,1479.300,955.000,1480.100,962.000,0.3700000,1.6890046,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.375,0.3749998,1.6804002,0.3749999,1.6696165,0.0000001,0.0107837,1493.194,964.000,1493.972,972.000,0.3749999,1.6750084,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.380,0.3800000,1.6597999,0.3799998,1.6519174,0.0000002,0.0078825,1507.089,978.000,1507.844,984.000,0.3799999,1.6558586,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.385,0.3849999,1.6406710,0.3850001,1.6342183,0.0000002,0.0064527,1520.983,991.000,1521.717,996.000,0.3850000,1.6374446,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.390,0.3900001,1.6200706,0.3900000,1.6165192,0.0000000,0.0035515,1534.878,1005.000,1535.589,1008.000,0.3900001,1.6182949,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.395,0.3949999,1.5700412,0.3950000,1.5701799,0.0000000,0.0001387,1548.772,1039.000,1549.461,1039.418,0.3949999,1.5701106,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.400,0.4000001,1.5692304,0.3999999,1.5699838,0.0000002,0.0007533,1562.667,1039.551,1563.333,1039.551,0.4000000,1.5696071,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.405,0.4050000,1.5700412,0.4050002,1.5722714,0.0000002,0.0022302,1576.561,1039.000,1577.206,1038.000,0.4050001,1.5711563,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.410,0.4100002,1.5685697,0.4100001,1.6002950,0.0000001,0.0317252,1590.456,1040.000,1591.078,1019.000,0.4100001,1.5844324,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.415,0.4150000,1.6001780,0.4150000,1.5994322,0.0000000,0.0007459,1604.350,1018.519,1604.950,1019.585,0.4150000,1.5998051,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.420,0.4199998,1.5894541,0.4199999,1.5898717,0.0000001,0.0004176,1618.244,1025.807,1618.822,1026.067,0.4199999,1.5896629,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.425,0.4250000,1.5624603,0.4249998,1.5635501,0.0000002,0.0010899,1632.139,1044.152,1632.694,1043.913,0.4249999,1.5630052,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.430,0.4299999,1.5589700,0.4300001,1.5588673,0.0000002,0.0001027,1646.033,1046.524,1646.567,1047.088,0.4300000,1.5589186,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.435,0.4350001,1.5510462,0.4350000,1.5521814,0.0000000,0.0011352,1659.928,1051.909,1660.439,1051.621,0.4350001,1.5516138,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.440,0.4399999,1.5949897,0.4400000,1.5590383,0.0000000,0.0359514,1673.822,1022.045,1674.311,1046.972,0.4399999,1.5770140,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.445,0.4450001,1.5966569,0.4449999,1.5959572,0.0000002,0.0006996,1687.717,1020.912,1688.183,1021.941,0.4450000,1.5963070,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.450,0.4500000,1.6236521,0.4500002,1.6247994,0.0000002,0.0011473,1701.611,1002.566,1702.056,1002.386,0.4500001,1.6242258,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.455,0.4550002,1.6668614,0.4550001,1.6682212,0.0000001,0.0013598,1715.506,973.201,1715.928,972.946,0.4550001,1.6675413,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.460,0.4600000,1.6974058,0.4600000,1.6980192,0.0000000,0.0006133,1729.400,952.443,1729.800,952.743,0.4600000,1.6977125,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.465,0.4649998,1.7251619,0.4649999,1.7241416,0.0000001,0.0010203,1743.294,933.580,1743.672,935.032,0.4649999,1.7246517,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.470,0.4700000,1.7520762,0.4699998,1.7542655,0.0000002,0.0021893,1757.189,915.289,1757.544,914.608,0.4699999,1.7531709,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.475,0.4749999,1.7630827,0.4750001,1.7624720,0.0000002,0.0006107,1771.083,907.809,1771.417,909.044,0.4750000,1.7627773,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.480,0.4800001,1.7718158,0.4800000,1.7725634,0.0000000,0.0007476,1784.978,901.874,1785.289,902.202,0.4800001,1.7721896,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.485,0.4849999,1.7743114,0.4850000,1.7751637,0.0000000,0.0008524,1798.872,900.178,1799.161,900.439,0.4849999,1.7747375,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.490,0.4900001,1.7995880,0.4899999,1.7764071,0.0000002,0.0231809,1812.767,883.000,1813.033,899.596,0.4900000,1.7879975,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.495,0.4950000,1.8163214,0.4950002,1.8202434,0.0000002,0.0039220,1826.661,871.628,1826.906,869.875,0.4950001,1.8182824,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.500,0.5000002,1.8320277,0.5000001,1.8324646,0.0000001,0.0004369,1840.556,860.954,1840.778,861.589,0.5000001,1.8322461,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.505,0.5050000,1.8372175,0.5050000,1.8600442,0.0000000,0.0228268,1854.450,857.427,1854.650,842.890,0.5050000,1.8486309,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.510,0.5099998,1.8644482,0.5099999,1.8670914,0.0000001,0.0026432,1868.344,838.921,1868.522,838.112,0.5099999,1.8657698,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.515,0.5150000,1.8723131,0.5149998,1.8732596,0.0000002,0.0009465,1882.239,833.576,1882.394,833.930,0.5149999,1.8727864,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.520,0.5199999,1.8803134,0.5200001,1.8809779,0.0000002,0.0006645,1896.133,828.139,1896.267,828.697,0.5200000,1.8806456,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.525,0.5250001,1.8826413,0.5250000,1.8841829,0.0000000,0.0015416,1910.028,826.557,1910.139,826.524,0.5250001,1.8834121,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.530,0.5299999,1.8820232,0.5300000,1.8829897,0.0000000,0.0009664,1923.922,826.977,1924.011,827.333,0.5299999,1.8825065,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.535,0.5350001,1.8757622,0.5349999,1.8773097,0.0000002,0.0015475,1937.817,831.232,1937.883,831.184,0.5350000,1.8765360,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.540,0.5400000,1.8698058,0.5400002,1.8717920,0.0000002,0.0019863,1951.711,835.280,1951.756,834.925,0.5400001,1.8707989,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C3,"round-bilge hull, L/B 7",long dashed,"highest broad crest, displaced right of C2",uppermost right-shifted principal crest,0.545,0.5450002,1.8564303,0.5450001,1.8574159,0.0000001,0.0009857,1965.606,844.370,1965.628,844.672,0.5450001,1.8569231,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
