# source: Mustafa Insel, 1990 PhD thesis, Figures 359--362
# source_location: printed pages 358--359; PDF pages 368--369
# identity: solid C2 (Wigley hull), independently audited before this attribution
figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_description,fn_anchor,fn,tau,fn_digitization_uncertainty,tau_digitization_uncertainty,pass_count,source_archive
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.340,0.3399999,0.8452193,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.345,0.3450001,0.7853218,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.350,0.3499999,0.7556141,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.355,0.3550001,0.8433385,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.360,0.3600000,0.9756945,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.365,0.3649999,1.0405849,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.370,0.3700000,1.1421278,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.375,0.3750001,1.2714978,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.380,0.3800000,1.3575812,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.385,0.3849999,1.4589811,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.390,0.3900001,1.5603942,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.395,0.3949999,1.6664525,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.400,0.4000001,1.7766175,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.405,0.4050000,1.7950401,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.410,0.4099999,1.8368554,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.415,0.4150000,1.8640387,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.420,0.4200001,1.9096155,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.425,0.4250000,1.9352345,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.430,0.4299999,1.9514612,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.435,0.4350001,1.9640389,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.440,0.4399999,1.9731710,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.445,0.4450001,1.9789958,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.450,0.4500000,1.9790441,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.455,0.4549999,1.9731436,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.460,0.4600000,1.9647788,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.465,0.4650001,1.9513170,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.470,0.4700000,1.9379981,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.475,0.4749999,1.9061741,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.480,0.4800001,1.8708063,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.485,0.4849999,1.8551538,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.490,0.4900001,1.8212451,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.495,0.4950000,1.7999131,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.500,0.4999999,1.7546662,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.505,0.5050000,1.7307935,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.510,0.5100001,1.7015010,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.515,0.5150000,1.6946571,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.520,0.5199999,1.6494668,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.525,0.5250001,1.5823440,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.530,0.5299999,1.5686781,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.535,0.5350001,1.5490019,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.540,0.5400000,1.5693190,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.545,0.5449999,1.5307513,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.550,0.5500000,1.5264426,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.555,0.5550001,1.4782609,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.560,0.5600000,1.4562040,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.565,0.5649999,1.4293933,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.570,0.5700001,1.4151466,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.575,0.5749999,1.3980456,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.580,0.5800001,1.3595412,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.585,0.5850000,1.3422474,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.590,0.5899999,1.3294569,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.595,0.5950000,1.3085708,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.600,0.6000001,1.3008928,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.605,0.6050000,1.2639169,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.610,0.6099999,1.2607401,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.615,0.6150001,1.2480423,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.620,0.6199999,1.2369558,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.625,0.6250001,1.2233176,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.630,0.6300000,1.2098054,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.635,0.6349999,1.1977275,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.640,0.6400000,1.1920723,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.645,0.6450001,1.1444724,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.650,0.6500000,1.1240356,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.655,0.6549999,1.1135219,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.660,0.6600001,1.1017375,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.665,0.6649999,1.0903604,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.670,0.6700001,1.0598474,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.675,0.6750000,1.0564309,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.680,0.6799999,1.0473783,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.685,0.6850000,1.0395411,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.690,0.6900001,1.0273291,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.695,0.6950000,1.0145734,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.700,0.6999999,1.0045509,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.705,0.7050001,0.9957558,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.710,0.7099999,0.9932621,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.715,0.7150001,0.9942542,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.720,0.7200000,0.9589572,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.725,0.7249999,0.9600215,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.730,0.7300000,0.9551309,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.735,0.7350001,0.9502183,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.740,0.7400000,0.9455641,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.745,0.7449999,0.9412271,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.750,0.7500001,0.9340337,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.755,0.7549999,0.9062890,0.0030000,0.0255623,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.760,0.7600001,0.8760827,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.765,0.7650000,0.8662168,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.770,0.7699999,0.8563510,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.775,0.7750000,0.8474725,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.780,0.7800001,0.8376067,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.785,0.7850000,0.8287282,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.790,0.7899999,0.8188624,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.795,0.7950001,0.8099839,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.800,0.7999999,0.8001181,0.0030000,0.0200000,2,theory_family_359.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.150,0.1500001,1.3690023,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.155,0.1550000,1.3979585,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.160,0.1599999,1.3543782,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.165,0.1650001,1.2984445,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.170,0.1699999,1.1552937,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.175,0.1750001,1.0897648,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.180,0.1800000,1.0687738,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.185,0.1849999,1.1021310,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.190,0.1900000,1.1564055,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.195,0.1950001,1.2469073,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.200,0.2000000,1.2674165,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.205,0.2049999,1.2355027,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.215,0.2149999,1.0835521,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.220,0.2200001,1.0849247,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.225,0.2250000,1.0777257,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.230,0.2299999,1.0696774,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.235,0.2350000,1.0193977,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.240,0.2400001,0.9257643,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.245,0.2450000,0.7902073,0.0030000,0.0200000,2,theory_interference.csv
360,358,368,0.3,C2,Wigley hull,solid,solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41,0.250,0.2499999,0.7132659,0.0030000,0.0200000,2,theory_interference.csv
